Date,Price,Open,High,Low,Vol.,Change %,pred
2020-07-23,11.7,11.8,12.1,11.6,654600,-0.0085,1.0
2020-07-22,11.8,11.9,12.0,11.7,607140,-0.0248,1.0
2020-07-21,12.1,12.1,12.3,11.8,734550,0.0,1.0
2020-07-20,12.1,11.2,12.2,11.1,1160000,0.0804,1.0
2020-07-19,11.2,11.2,11.3,11.0,245540,0.0,1.0
2020-07-16,11.2,11.3,11.5,11.1,372910,-0.0088,1.0
2020-07-15,11.3,11.3,11.6,11.2,468170,0.0089,1.0
2020-07-14,11.2,11.0,11.3,10.9,214520,0.0275,1.0
2020-07-13,10.9,11.2,11.2,10.8,350740,-0.0091,1.0
2020-07-12,11.0,11.3,11.4,11.0,269790,-0.0265,1.0
2020-07-09,11.3,11.5,11.6,11.2,295730,-0.0174,1.0
2020-07-08,11.5,10.6,11.6,10.6,783140,0.0849,1.0
2020-07-07,10.6,10.7,10.9,10.5,172190,-0.0093,1.0
2020-07-06,10.7,10.4,11.1,10.4,527520,0.0288,1.0
2020-07-05,10.4,10.2,10.5,10.2,238460,0.0196,1.0
2020-07-02,10.2,10.2,10.2,10.2,20,0.0,0.0
2020-06-30,10.2,10.2,10.2,10.2,0,0.0,0.0
2020-06-28,10.2,10.2,10.2,10.2,27570,0.0,0.0
2020-06-24,10.2,10.2,10.2,10.2,1500,0.0,0.0
2020-06-23,10.2,10.2,10.2,10.2,16830,0.0,0.0
2020-06-22,10.2,10.2,10.3,10.2,126020,0.0,1.0
2020-06-21,10.2,10.2,10.3,10.2,986780,0.0,1.0
2020-06-18,10.2,10.2,10.2,10.2,250,0.0,0.0
2020-06-17,10.2,10.2,10.2,10.2,1140,0.0,0.0
2020-06-15,10.2,10.2,10.2,10.2,800,0.0,0.0
2020-06-10,10.2,10.2,10.2,10.2,3260,0.0,0.0
2020-06-08,10.2,10.2,10.2,10.2,140,0.0,0.0
2020-06-07,10.2,10.2,10.2,10.2,700,0.0,0.0
2020-06-04,10.2,10.2,10.2,10.2,700,0.0,0.0
2020-06-03,10.2,10.2,10.2,10.2,3000,0.0,0.0
2020-06-02,10.2,10.2,10.2,10.2,1000,0.0,0.0
2020-06-01,10.2,10.2,10.2,10.2,240,0.0,0.0
2020-05-31,10.2,10.2,10.2,10.2,46500,0.0,1.0
2020-03-29,10.2,10.2,10.2,10.2,16490,0.0,0.0
2020-03-25,10.2,10.2,10.2,10.2,16490,0.0,0.0
2020-03-24,10.2,10.2,10.2,10.2,24400,0.0,0.0
2020-03-23,10.2,10.2,10.2,10.2,21990,0.0,0.0
2020-03-22,10.2,10.2,10.2,10.2,50650,0.02,1.0
2020-03-19,10.0,10.0,10.0,10.0,21940,0.1111,0.0
2020-03-18,9.0,10.0,10.3,8.9,723700,-0.0722,1.0
2020-03-16,9.7,10.2,10.3,9.5,333730,-0.03,1.0
2020-03-15,10.0,10.7,10.7,9.7,400990,-0.0654,1.0
2020-03-12,10.7,11.3,11.3,10.5,155120,-0.0614,1.0
2020-03-11,11.4,11.5,11.6,11.3,132130,0.0179,1.0
2020-03-10,11.2,10.7,11.3,10.6,269760,0.0566,1.0
2020-03-09,10.6,11.7,11.7,10.6,454290,-0.094,1.0
2020-03-08,11.7,12.1,12.1,11.6,189660,-0.0331,1.0
2020-03-05,12.1,12.3,12.3,12.0,226910,-0.0163,1.0
2020-03-04,12.3,12.6,12.7,12.2,391780,-0.0238,1.0
2020-03-03,12.6,12.5,12.8,12.3,294890,0.0244,1.0
2020-03-02,12.3,12.0,12.5,12.0,175250,0.025,1.0
2020-03-01,12.0,12.8,12.8,11.8,376650,-0.0625,1.0
2020-02-27,12.8,12.9,13.0,12.6,207480,0.0,1.0
2020-02-26,12.8,13.0,13.1,12.8,296930,-0.0078,1.0
2020-02-25,12.9,12.7,12.9,12.7,160220,0.0157,1.0
2020-02-24,12.7,12.6,13.1,12.6,178570,-0.0155,1.0
2020-02-23,12.9,13.4,13.4,12.8,429540,-0.0373,1.0
2020-02-20,13.4,13.9,13.9,13.4,307290,-0.0147,1.0
2020-02-19,13.6,13.9,13.9,13.5,464490,-0.0145,1.0
2020-02-18,13.8,14.2,14.4,13.6,836810,-0.0282,1.0
